cora_acct_id,hostitemid,techno,actualhours,bookerno,causes,comeback,comebackro,comebacksa,comebacktech,complaintcode,failedpart,failedpartcount,failurecode,laborcost,laborsale,labortype,linecode,misccost,miscsale,opcode,opcodedescription,partscost,partssale,ronumber,servicerequest,soldhours,timecardhours,vehid,rowlastupdated,addonflag,authorizationcode,bookeddate,bookedtime,campaigncode,cc_prompton_cp,cc_prompton_ip,cc_prompton_wp,claimtype,concerncode,concerncodelabel,concerncodelabelabbr,concerndescription,conditioncode,dispatchactualduration,dispatchcode,dispatchestimatedduration,dispatchlinecode,dispatchlinestatus,labordebitaccount,labordebitcompany,labordebitcontrol,laborjournal,laborjournalcompany,laborsaleaccount,laborsalecompany,laborsalecontrol,linoriginappl,linorigincode,loporiginappl,loporigincode,lopseqno,make,mcdlaborpercentage,originappl,origincode,otherhours,partsflag,pickitemid,servicewriter,storyseqnumber,techno2,techno3,techno4,techno5,technos,rowlastupdatedutc,lopdiscseqnos,baseid,labordiscount,partsdiscount,join_cora_acct_id,cora_acct_code,de_server_ip_addr,server_ip_addr
"4","HA069009*83799*4*0","92","0.00","34579","REQUESTED TO ROTATE TIRES .","0",,,,"ROTATE",,"0",,"19.0000","34.9500","CPM","D","0.0000","0.0000","ROTATE","ROTATED TIRES PER CUSTOMER REQUEST","0.0000","0.0000","83799","ROTATED TIRES PER CUSTOMER REQUEST","0.50","0.00","HA069009","2026-01-07 03:08:15.566529","Y",,"2026-01-06 00:00:00.0","14:23:29",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.3","D",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","4","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83799*4","34579","1",,,,,"92","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HA069009*83799*3*0","92","0.02","34579","C/S PLEASE COMPLETE 4 WHEEL ALIGNMENT","0",,,,"SALIGN",,"0",,"76.0000","259.9500","CPM","C","0.0000","0.0000","SALIGN","COMPLETED 4 WHEEL ALIGNMENT AS PER CUSTOMER REQUEST. TEST DROVE AND VERIFIED TRACKING OF VEHICLE.","0.0000","0.0000","83799","COMPLETED 4 WHEEL ALIGNMENT AS PER CUSTOMER REQUEST. TEST DROVE AND VERIFIED TRACKING OF VEHICLE.","2.00","0.00","HA069009","2026-01-07 03:08:15.566529","Y",,"2026-01-06 00:00:00.0","14:23:24",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","2.0","C",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","3","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83799*3","34579","1",,,,,"92","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HA069009*83799*2*0","92","0.77","34579",,"0",,,,,,"0",,"64.6000","331.5000","CPM","B","0.0000","0.0000","1","PERFORM 90,000 MILE SERVICE","112.4000","217.5700","83799","PERFORM 90,000 MILE SERVICE","1.70","0.00","HA069009","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","14:23:20",,"N","N","N",,,"CONCERN CODE","CC",,,"0.8","AS10","0.0","B",,,,,"30","1","4411","1",,,,"Service","PFC","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","1","21191*LOP*83799*2","34579","1",,,,,"92","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HA069009*83799*1*0","92","0.00","34579",,"0",,,,"MPI",,"0",,"0.0000","0.0000","ISP","A","0.0000","0.0000","MPI","PERFORM MULTI POINT INSPECTION","0.0000","0.0000","83799","PERFORM MULTI POINT INSPECTION","0.00","0.00","HA069009","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","14:22:18",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","A",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83799*1","34579","1",,,,,"92","2026-01-07 08:08:15.566529",,"HA069009*83799","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","RA008967*83796*2*0","79","0.31","35296",,"0",,,,"KEY",,"0",,"40.0000","215.0000","CPM","B","0.0000","0.0000","KEY","PERFORM PROGRAMMING OF ALL KEYS FOR VEHICLE TO INCLUDE VALET KEY(IF AVAILABLE) ALL KEYS NOT PRESENT AT THE TIME OF PROGRAMMING ARE ERASED FROM MEMORY.","0.0000","0.0000","83796","PERFORM PROGRAMMING OF ALL KEYS FOR VEHICLE TO INCLUDE VALET KEY(IF AVAILABLE) ALL KEYS NOT PRESENT AT THE TIME OF PROGRAMMING ARE ERASED FROM MEMORY.","1.00","0.00","RA008967","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","12:09:38",,"N","N","N",,,"CONCERN CODE","CC",,,"0.3","AS10","1.0","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83796*2","35296","1",,,,,"79","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","RA008967*83796*1*0","79","0.00","35296",,"0",,,,"NOMPI",,"0",,"0.0000","0.0000","ISP","A","0.0000","0.0000","NOMPI","NOT PERFORMED DUE TO TIME AND/OR PERFORMED WITHIN 30 DAYS","0.0000","0.0000","83796","NOT PERFORMED DUE TO TIME AND/OR PERFORMED WITHIN 30 DAYS","0.00","0.00","RA008967","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","12:09:07",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","A",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83796*1","35296","1",,,,,"79","2026-01-07 08:08:15.566529",,"RA008967*83796","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","R2104063*83735*3*0","33729","0.70","36084",,"0",,,,"REP",,"0",,"45.6000","234.0000","CPM","C","0.0000","0.0000","REP","Pass. Front Exterior Door Handle - Adjust/Reinstall","0.0000","0.0000","83735","Pass. Front Exterior Door Handle - Adjust/Reinstall","1.20","0.00","R2104063","2026-01-07 03:08:15.566529","Y",,"2026-01-06 00:00:00.0","12:37:32",,"N","N","N",,,"CONCERN CODE","CC",,,"0.7","AS10","1.2","C",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","3","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83735*3","36084","2",,,,,"33729","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","R2104063*83735*2*0","33729","0.16","36084",,"0",,,,"57110199",,"0",,"3.5000","0.0000","ISP","B","0.0000","0.0000","57110199","CHECK 1-4 DOOR HANDLES - CUSTOMER STATES THE FRONT-PASSENGER SIDE DOOR HANDLE IS LOOSE ALL THE TIME PLEASE CHECK AND ADVISE.","0.0000","0.0000","83735","CHECK 1-4 DOOR HANDLES - CUSTOMER STATES THE FRONT-PASSENGER SIDE DOOR HANDLE IS LOOSE ALL THE TIME PLEASE CHECK AND ADVISE.","0.10","0.00","R2104063","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","12:37:22",,"N","N","N",,,"CONCERN CODE","CC",,,"0.2","AS10","0.1","B",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83735*2","36084","1",,,,,"33729","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","R2104063*83735*1*0","33729","0.02","36084",,"0",,,,"MPI",,"0",,"0.0000","0.0000","ISP","A","0.0000","0.0000","MPI","PERFORM MULTI POINT INSPECTION","0.0000","0.0000","83735","PERFORM MULTI POINT INSPECTION","0.00","0.00","R2104063","2026-01-07 03:08:15.566529","N",,"2026-01-06 00:00:00.0","12:37:12",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","A",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83735*1","36084","1",,,,,"33729","2026-01-07 08:08:15.566529",,"R2104063*83735","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","SA002210*83725*4*0","33729","0.10","34579","NORTH CAROLINA STATE SAFETY INSPECTION","0",,,,"NCSI",,"0",,"7.6000","13.6000","CPSI","D","0.0000","0.0000","NCSI","NORTH CAROLINA STATE INSPECTION","0.0000","0.0000","83725","NORTH CAROLINA STATE INSPECTION","0.20","0.00","SA002210","2026-01-07 03:08:15.566529","N",,"2026-01-05 00:00:00.0","11:53:39",,"N","N","N",,,"CONCERN CODE","CC",,,"0.1","AS10","0.2","D",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","4","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21191*LOP*83725*4","34579","1",,,,,"33729","2026-01-07 08:08:15.566529",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
