cora_acct_id,hostitemid,techno,actualhours,bookerno,causes,comeback,comebackro,comebacksa,comebacktech,complaintcode,failedpart,failedpartcount,failurecode,laborcost,laborsale,labortype,linecode,misccost,miscsale,opcode,opcodedescription,partscost,partssale,ronumber,servicerequest,soldhours,timecardhours,vehid,rowlastupdated,addonflag,authorizationcode,bookeddate,bookedtime,campaigncode,cc_prompton_cp,cc_prompton_ip,cc_prompton_wp,claimtype,concerncode,concerncodelabel,concerncodelabelabbr,concerndescription,conditioncode,dispatchactualduration,dispatchcode,dispatchestimatedduration,dispatchlinecode,dispatchlinestatus,labordebitaccount,labordebitcompany,labordebitcontrol,laborjournal,laborjournalcompany,laborsaleaccount,laborsalecompany,laborsalecontrol,linoriginappl,linorigincode,loporiginappl,loporigincode,lopseqno,make,mcdlaborpercentage,originappl,origincode,otherhours,partsflag,pickitemid,servicewriter,storyseqnumber,techno2,techno3,techno4,techno5,technos,rowlastupdatedutc,lopdiscseqnos,baseid,labordiscount,partsdiscount,join_cora_acct_id,cora_acct_code,de_server_ip_addr,server_ip_addr
"4","PA010922*83742*1*0","33961","0.00","34579",,"0",,,,"NOMPI",,"0",,"0.0000","0.0000","CPG","A","0.0000","0.0000","NOMPI","NOT PERFORMED DUE TO TIME AND/OR PERFORMED WITHIN 30 DAYS","0.0100","1.8000","83742","NOT PERFORMED DUE TO TIME AND/OR PERFORMED WITHIN 30 DAYS","0.00","0.00","PA010922","2026-01-11 03:06:19.580239","N",,"2026-01-05 00:00:00.0","15:19:01",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","A","C93",,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","1","83742*1","34579",,,,,,"33961","2026-01-11 08:06:19.580239",,"PA010922*83742","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","PA010922*83742*2*0","33961","0.41","34579",,"0",,,,"None",,"0",,"0.0000","0.0000","W","B","0.0000","0.0000","None","CUSTOMER STATES THE CHECK ENGINE LIGHT IS ON - PREVIOUSLY DIAGNOSED AND PARTS IN STOCK","253.5900","471.1700","83742","CUSTOMER STATES THE CHECK ENGINE LIGHT IS ON - PREVIOUSLY DIAGNOSED AND PARTS IN STOCK","0.00","0.00","PA010922","2026-01-11 03:06:19.580239","N",,"2026-01-05 00:00:00.0","15:20:06",,"N","N","N",,,"CONCERN CODE","CC",,,"0.4","AS10","0.0","B","C93","1334","1",,"35","1","4413","1",,,,"EDGE-RO-LOP--","RO-ED","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","1","83742*2","34579","1",,,,,"33961","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*1*0","50","0.00","36084",,"0",,,,,,"0",,"0.0000","0.0000","CP","A","0.0000","0.0000","1","Moved to: 82691C Line: A","0.0000","0.0000","82691","Moved to: 82691C Line: A","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.2","AS10","0.0","A","C93",,,,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","82691*1","36084",,,,,,"50","2026-01-11 08:06:19.580239",,"LA063722*82691","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*2*0","33961","21.17","36084",,"0",,,,"None",,"0",,"0.0000","0.0000","W","B","0.0000","0.0000","None","OPEN RECALL 91MM Infotainment System Software CRIT 01","3673.3300","6753.4200","82691","OPEN RECALL 91MM Infotainment System Software CRIT 01","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,"2025-12-11 00:00:00.0","08:52:33",,"N","N","N",,,"CONCERN CODE","CC",,,"21.2","AS10","0.0","B","C93","1334","1",,"35","1","4413","1",,,,"EDGE-RO-LOP--","RO-ED","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","1","82691*2","36084","2",,,,,"33961","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*3*0","50","0.00","21290",,"0",,,,,,"0",,"0.0000","0.0000","CP","C","0.0000","0.0000","1","Moved to: 82691C Line: B","0.0000","0.0000","82691","Moved to: 82691C Line: B","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","C","C93",,,,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","3","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","82691*3","36084",,,,,,"50","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*4*0","50","0.00","36084",,"0",,,,,,"0",,"0.0000","0.0000","CP","D","0.0000","0.0000","1","Moved to: 82691C Line: C","0.0000","0.0000","82691","Moved to: 82691C Line: C","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.5","D","C93",,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","4","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","82691*4","36084",,,,,,"50","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*5*0","50","0.00","36084",,"0",,,,,,"0",,"0.0000","0.0000","CP","E","0.0000","0.0000","1","Moved to: 82691C Line: D","0.0000","0.0000","82691","Moved to: 82691C Line: D","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.5","E","C93",,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","5","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","82691*5","36084",,,,,,"50","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","LA063722*82691*6*0","50","0.00","36084",,"0",,,,,,"0",,"0.0000","0.0000","CP","F","0.0000","0.0000","1","Moved to: 82691C Line: E","0.0000","0.0000","82691","Moved to: 82691C Line: E","0.00","0.00","LA063722","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","F","C93",,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","6","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","82691*6","36084",,,,,,"50","2026-01-11 08:06:19.580239",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","S2108665*83758*1*0",,"0.00",,"30 DAY REQUIRED INSPECTION FOR LOT VEHICLES. INSPECTION","0",,,,"30DAY",,"0",,"0.0000","100.0000","INA","A","0.0000","0.0000","30DAY","PLEASE PERFORM LOT CAR 30 DAY INSPECTION TO BE COMPLETED WITH IN DELIVERY PLUS.","0.0000","0.0000","83758","PLEASE PERFORM LOT CAR 30 DAY INSPECTION TO BE COMPLETED WITH IN DELIVERY PLUS.","1.00","0.00","S2108665","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.8","A","I91","1404","1",,"34","1","4415","1",,,,"Service","RO","1","AUDI","100","Service","RO","0.00","0","83758*1","34579",,,,,,,"2026-01-11 08:06:19.580239",,"S2108665*83758","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","SA035272*83762*1*0",,"0.00",,"30 DAY REQUIRED INSPECTION FOR LOT VEHICLES. INSPECTION","0",,,,"30DAY",,"0",,"0.0000","100.0000","INA","A","0.0000","0.0000","30DAY","PLEASE PERFORM LOT CAR 30 DAY INSPECTION TO BE COMPLETED WITH IN DELIVERY PLUS.","0.0000","0.0000","83762","PLEASE PERFORM LOT CAR 30 DAY INSPECTION TO BE COMPLETED WITH IN DELIVERY PLUS.","1.00","0.00","SA035272","2026-01-11 03:06:19.580239","N",,,,,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.8","A","I91","1404","1",,"34","1","4415","1",,,,"Service","RO","1","AUDI","100","Service","RO","0.00","0","83762*1","34579",,,,,,,"2026-01-11 08:06:19.580239",,"SA035272*83762","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
