cora_acct_id,hostitemid,accountingaccount,axle,axleno,balance,baseinvoiceprice,baseretailprice,bodystyle,brakesys,cabtype,certified,chassis,color,country,custflag,custid,custno,cylinderno,dealerdefined1,dealerdefined2,dealerdefined3,dealerdefined4,dealerdefined5,dealerdefined6,dealerdefined7,dealerdefined8,dealno,deletecode,deletedate,draftamount,engineno,entrydate,fleetno,fronttire,gvw,interiorcolor,inventoryacct,inventorycompany,keyno,lastactivitydate,licenseno,lienholder,lotlocation,make,makename,mileage,model,modelname,modelno,modeltype,namecode,numberofdoors,options,po,previousownername,price1,price2,proddate,productionno,reartire,receiveddate,restraintsys,saleacct,salecompany,salesmanid,salesperson1,salesperson2,solddate,status,stickerprice,stockno,stocktype,totaloptionscost,totaloptionsinvoice,totaloptionsretail,transmissionno,trimlevel,vehid,vin,wheelbase,wholesale,year,rowlastupdated,rowlastupdatedutc,actualcashvalue,advertisedprice,advertisedpriceexpdate,advertisedpriceid,advertisedpricestartdate,billingdate,billoflading,commissionpackamount,commissionpackpercent,commissionprice,daysbeyondplan,dealerprepamount,dealerprephours,enginedescription,expecteddeliverydate,expirationtransitdate,freeinterestamount,freeinterestdays,freeinterestenddate,freeintereststartdate,freightin,freightout,freighttax,fueltype,fulldescription,holdbackamount,interestenddate,intereststartdate,inventorycomment,inventorysourcecode,inventorysourcename,invoicedate,invoicenumber,invoicepackamount,licenseexpirationdate,licensestate,manufacturer,newtires,optiondescriptions,orderdate,ordernumber,orderpriority,ordertype,penaltydue,plantofmanufacture,postaheadflag,previoussaleamount,previousyearsold,primarydriverno,protectedinterestenddate,protectedinterestrate,protectedintereststartdate,protectednetinterest,protectedtotalinterest,protectedtotalinterestenddate,protectedtotalintereststartdat,retailpack,retailpriceupdatedate,rpocode,salecode,servicedeletecode,shippingdate,soldmileage,standardcolor,supplementalstickerdate,totalinsuranceamount,totalnetinterest,usedvehicledata,vehiclelicensefee,vehiclesolddate,vehiclesoldflag,vehiclestyle,vinmakecode,vinmodelcode,vlfclass,stdequip1,unladenweight,makenameupper,join_cora_acct_id,cora_acct_code,de_server_ip_addr,server_ip_addr
"2","5*SA308779B","LCF-A",,,"56600.0000","0.0000","0.0000","WG",,,"N","2WD","White","United States",,,,"4",,,,,,,,,,,,"0.0000","2.4_Liter_Turbo","2025-12-29 00:00:00.0",,,,,"13690","2",,"2025-12-29 00:00:00.0",,"LEXUS FIN",,"LEXU","Lexus","9506","RC","Rc",,"MP","5","4",,,,"0.0000","0.0000",,,,"2025-12-29 00:00:00.0","Belts, Dri",,,,,,,"S","0.0000","SA308779B","USED","0.0000","0.0000","0.0000",,,"SS037735","5TDAAAB69SS037735",,"N","2025","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","56000.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"2.4 Liter Turbo",,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,"TRADE-IN-USED",,,,"0.0000",,,,,,,,,,"0.0000",,,"0.0000",,,,,,"0.0000","0.0000",,,"0.0000","2025-12-29 00:00:00.0",,,"24",,"9506",,,"0.0000","0.0000",,"0.0000",,"0",,,,,,,"LEXUS","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*1VA028A","LCF-A",,,"26200.0000","0.0000","0.0000","UV",,,"N","AWD","White","Germany",,,,"4",,,,,,,,,,,,"0.0000","2.0_Liter_Turbo","2025-09-24 00:00:00.0",,,"5,534 lbs.",,"1420","1",,"2025-09-24 00:00:00.0",,,,"PORS","Porsche","69156","MACAN","Macan",,"MP","5","4",,,,"0.0000","0.0000",,,,"2025-09-24 00:00:00.0",,,,"7*34161","34161",,,"S","0.0000","1VA028A","USED","0.0000","0.0000","0.0000",,,"LLB01943","WP1AA2A58LLB01943",,"N","2020","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","25000.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"2.0 Liter Turbo",,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,"TRADE-IN-USED",,,,"0.0000",,,,,,,,,,"0.0000","Leipzig, Germany",,"0.0000",,,,,,"0.0000","0.0000",,,"0.0000","2025-09-24 00:00:00.0",,,"999",,"69156",,,"0.0000","0.0000",,"0.0000",,"0",,,,,,,"PORSCHE","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*TN024691A","LCF-A",,,"0.0000","0.0000","0.0000","SD",,,"N",,"Black","Germany",,,,"6",,,,,,,,,,,,"0.0000","3.0_Liter_Twin_Turbo","2026-01-07 00:00:00.0",,,,,,,,"2026-01-07 00:00:00.0",,,,"BMW","Bmw","5195","8SERIES","8Series","258T","C","5","4",,,,"0.0000","0.0000",,,,"2026-01-07 00:00:00.0","Dual Front",,,"7*21076","21076",,,"S","0.0000","TN024691A","USED","0.0000","0.0000","0.0000",,,"SCS14247","WBAGV4C04SCS14247",,"N","2025","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","72000.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"3.0 Liter Twin",,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,"TRADE-IN-USED",,,,"0.0000",,,,,,,,,,"0.0000","Dingolfing",,"0.0000",,,,,,"0.0000","0.0000",,,"0.0000","2026-01-07 00:00:00.0",,,"999",,"5195",,,"0.0000","0.0000",,"0.0000",,"0",,,,,,,"BMW","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*SN045867A","LCF-A",,,"0.0000","0.0000","0.0000","SD",,,"N","AWD","Blue","Germany","1","4*36627","36627","6",,,,,,,,,"31470",,,"0.0000","3.0_Liter_TFSI","2025-11-18 00:00:00.0",,,"5,556",,"1414","1",,"2025-11-18 00:00:00.0",,"AUDI FINANCIAL",,"AUDI","Audi","20049","A6","A6",,"C","5",,,,,"0.0000","0.0000",,,,"2025-11-18 00:00:00.0","Side Front","4610","1","7*25149","25149",,"2025-12-19 00:00:00.0","G","0.0000","SN045867A","USED","0.0000","0.0000","0.0000",,,"PN083178","WAUM2BF20PN083178",,"N","2023","2026-01-07 03:15:18.859749","2026-01-07 08:15:18.859749","40000.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"3.0 Liter TFSI",,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,"TRADE-IN-USED",,,,"0.0000",,,,,,,,,,"0.0000","Neckarsulm, Germany",,"0.0000",,"4*36627",,,,"0.0000","0.0000",,,"0.0000","2025-11-18 00:00:00.0",,,"999",,"20049",,,"0.0000","0.0000",,"0.0000","2025-12-19 00:00:00.0","S",,,,,,,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*TN024691","LCF-A",,,"73399.2300","60255.0000","64100.0000",,,,"N",,"M. Green","Germany","1","4*11621","11621",,,,,,,,,,"31519",,,"0.0000",,"2025-12-31 00:00:00.0",,,,"Brown","1404","1",,"2026-01-02 00:00:00.0",,,,"AUDI","Audi","35","A6","A6","FN2A5Y","C","5",,"S8A2 IP ASN RAB WPT XBO",,,"76420.0000","72785.6300",,"TN024691",,,"Side Front",,,,,,"2026-01-07 00:00:00.0","G","0.0000","TN024691","NEW","0.0000","10365.0000","11025.0000",,,"TN024691","WAU65CFN0TN024691",,"N","2026","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","0.0000","0.0000",,,,,,"0.0000",,"72785.6300",,"0.0000",,,,,"0.0000",,,,"1295.0000","0.0000","0.0000",,,"0.0000",,,,,,,,"870.6300",,,"AUDI",,"MIDNIGHT GREEN METALLIC|BROWN INTERIOR|AUDI GUARD PROTECTION KIT|AUDI BEAM-RINGS|PRESTIGE PACKAGE (DISC)|S LINE BLACK OPTIC PACKAGE",,,,,"0.0000","Neckarsulm, German",,"0.0000",,"4*11621",,,,"0.0000","0.0000",,,"0.0000","2026-01-02 00:00:00.0",,,"999",,"35",,,"0.0000","0.0000",,"0.0000","2026-01-07 00:00:00.0","S",,"AUDI",,,,,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*TD004224","LCF-A",,,"76036.1500","63544.0000","67600.0000",,,,"N",,"M. Black","Germany","1",,,,,,,,,,,,,,,"0.0000",,"2025-12-24 00:00:00.0",,,,"Black","1404","1",,"2025-12-24 00:00:00.0",,,,"AUDI","Audi","14","Q7","Q7","4MQAX2","UT","5",,"0E0E MP 1D6 ALB ILG QMP RBF RTC WPS XBO",,,"79005.0000","75172.5500",,"TD004224",,,"Side Front",,,,,,,"S","0.0000","TD004224","NEW","0.0000","9505.0000","10110.0000",,,"TD004224","WA1LVBF7XTD004224",,"N","2026","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","0.0000","0.0000",,,,,,"0.0000",,"75172.5500",,"0.0000",,,,,"0.0000",,,,"1295.0000","0.0000","0.0000",,,"0.0000",,,,,,,,"828.5500",,,"AUDI",,"MYTHOS BLACK METALLIC|BLACK INTERIOR|TRAILER HITCH|AUDI CARGO BOX|ILLUMINATED FRONT AUDI RINGS|AUDI GUARD PROTECTION KIT|AUDI BEAM RINGS|PRIVACY TRUNK COVER|PREMIUM PLUS PACKAGE|BLACK OPTIC PACKAGE",,,,,"0.0000","Bratislava,Slovakia",,"0.0000",,,,,,"0.0000","0.0000",,,"0.0000","2025-12-24 00:00:00.0",,,"999",,"14",,,"0.0000","0.0000",,"0.0000",,"0",,"AUDI",,,,,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*SA011493A","LCF-A",,,"0.0000","35156.0000","37400.0000","SD",,,"N",,"Silver","Germany","1","4*33941","33941","4",,,,,,,,,"30572",,"2025-06-01 00:00:00.0","0.0000","2.0_Liter_Turbo","2025-01-02 00:00:00.0",,,,,"1418","1",,"2025-01-02 00:00:00.0",,"AUDI FINANCIAL SERVICE",,"AUDI","Audi","106045","A420T","A4 20T","8WCBMG","C","5","4",,,,"0.0000","0.0000",,,,"2025-01-02 00:00:00.0","Side Front","4623","1","7*21076","21076",,"2025-03-26 00:00:00.0","G","0.0000","SA011493A","USED","0.0000","0.0000","0.0000",,"PREMPLS","LN013432","WAUHMAF4XLN013432",,"N","2020","2026-01-07 03:15:18.859749","2026-01-07 08:15:18.859749","10000.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"2.0 Liter Turbo",,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,"TRADE-IN-USED",,,,"0.0000",,,,,,,,,,"0.0000","Neckarsulm, Germany",,"0.0000",,"4*33941",,,,"0.0000","0.0000",,,"0.0000","2025-01-02 00:00:00.0",,,"999",,"106045",,,"0.0000","0.0000",,"0.0000","2025-03-26 00:00:00.0","S",,,,,"<<< MECHANICAL >>>|2.0L I-4 DOHC GASOLINE DIRECT INJECTION INTERCOOLED TURBO 16 |   FRONT ENGINE WITH VARIABLE VALVE CONTROL, SPARK IGNITION,|   LONGITUDINAL ORIENTATION, IRON BLOCK, ALUMINUM HEAD,|   RECOMMENDED FUEL : PREMIUM UNLEADED|REGENERATIVE|WITH RUN DOWN PROTECTION|7-SPEED ELECTRONIC OVERDRIVE AUTO-SHIFT MANUAL TRANSMISSION|FRONT-WHEEL DRIVE|ABS & DRIVELINE TRACTION CONTROL|INDEPENDENT MULTI-LINK WITH ANTI-ROLL BAR|INDEPENDENT MULTI-LINK WITH ANTI-ROLL BAR|ELECTRIC POWER-ASSIST DRIVER SELECTABLE EFFORT RACK AND PINION|   STEERING SPEED-SENSING ASSIST|4-WHEEL DISC BRAKES WITH 4-WHEEL ANTI-LOCK BRAKING SYSTEM, 4 ABS|   CHANNELS, FRONT VENTED DISCS, ELECTRIC PARKING BRAKE|<<< EXTERIOR >>>|1ST ROW EXPRESS OPEN/CLOSE SLIDING AND TILTING GLASS SUNROOF|   WITH MANUAL SUNSHADE, REGULAR OPENING|FRONT BODY-COLORED BUMPER WITH METAL-LOOK BUMPER INSERT|REAR BODY-COLORED BUMPER WITH BLACK RUB STRIP/FASCIA ACCENT,|   METAL-LOOK BUMPER INSERT|BLACK W/CHROME SURROUND GRILLE, ALUMINUM SIDE WINDOW MOLDING,|   BLACK FRONT WINDSHIELD MOLDING, CHROME DOOR HANDLES|PROJECTOR BEAM LED LOW BEAM PROGRAMMABLE HEADLAMPS WITH DAYTIME|   RUNNING LIGHTS, ENCLOSED MULTIPLE HEADLAMPS, DELAY-OFF|   FEATURE, AUTO-LEVELING, AUTO HIGH-BEAM|ADDITIONAL EXTERIOR LIGHTS INCLUDE FRONT FOG LIGHTS, CENTER HIGH|   MOUNTED STOP LIGHT, REAR FOG LIGHT, REMOTE ACTIVATED|   PERIMETER/APPROACH LIGHTS, LED BRAKELIGHTS|P225/50HR17.0 BSW AS FRONT TIRES|P225/50HR17.0 BSW AS REAR TIRES|<<< INTERIOR >>>|DUAL AIRBAGS, SEAT MOUNTED DRIVER AND PASSENGER SIDE-IMPACT|   AIRBAGS, CURTAIN 1ST AND 2ND ROW OVERHEAD AIRBAGS, OCCUPANCY|   SENSOR, DRIVER AND PASSENGER KNEE AIRBAG|SEATING CAPACITY OF 5|BUCKET FRONT SEATS WITH DRIVER & PASSENGER HEATED-CUSHION,|   DRIVER & PASSENGER HEATED-SEATBACK|FRONT HEIGHT ADJUSTABLE WITH 5 FRONT AND REAR PRE-TENSIONERS|   SEATBELTS REAR CENTER 3 POINT|2 SEAT BACK STORAGE POCKETS, DRIVER AND PASSENGER DOOR BINS,|   REAR DOOR BINS|CARGO TIE DOWNS, CARGO LIGHT|<<< FUNCTIONAL >>>|DUAL ZONE FRONT AUTOMATIC AIR CONDITIONING REAR HVAC WITH|   SEPARATE CONTROLS, AIR FILTER, UNDERSEAT DUCTS, WITH CONSOLE|   DUCTS|REGULAR AM/FM/HD/SATELLITE-PREP WITH SEEK-SCAN, RADIO DATA|   SYSTEM, AUXILIARY AUDIO INPUT, EXTERNAL MEMORY CONTROL|10|WINDOW GRID WITH DIVERSITY|CRUISE CONTROL|2 12V DC POWER OUTLET(S), DRIVER FOOT REST, RETAINED ACCESSORY|   POWER, GARAGE DOOR TRANSMITTER,INTEGRATED EMERGENCY SOS,|   WIRELESS PHONE CONNECTIVITY, MIRRORING SMART DEVICE|   INTEGRATION, 2 USB PORTS|POWER WITH 2 STAGE UNLOCK, WITH REMOTE KEYFOB (ALL DOORS) ENTRY,|   INTEGRATED KEY/REMOTE, AUTO LOCKING, PROXIMITY KEY, VALET|   FUNCTION|POWER CHILD SAFETY REAR DOOR LOCKS, LOCKING FUEL FLAP INCLUDED|   WITH POWER DOOR LOCKS|TACHOMETER|WARNING INDICATORS INCLUDE OIL PRESSURE, ENGINE TEMPERATURE,|   BATTERY, LOW OIL LEVEL, LOW COOLANT, LIGHTS ON CHIME, KEY|   CHIME, LOW FUEL, LOW WASHER FLUID, LIGHTING MALFUNCTION, DOOR|   AJAR, REAR CARGO AJAR, SERVICE INTERVAL, BRAKE FLUID, LOW|   TIRE PRESSURE, BRAKE PAD WEAR|IMMOBILIZER, PANIC ALARM, TRACKER SYSTEM|POWER FRONT WINDOWS|POWER 2ND ROW ACTIVATION|VARIABLE INTERMITTENT FRONT WINDSHIELD WIPERS WITH HEATED JETS,|   RAIN DETECTING WIPERS, SUN VISOR STRIP, SPEED SENSITIVE WIPERS|",,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*1M065","LCF-A",,,"49750.7700","0.0000","0.0000",,,,"N",,"G. White","Germany","1","4*36764","36764",,,,,,,,,,"31520",,,"0.0000",,"2025-12-03 00:00:00.0",,,,,"1414","1",,"2025-12-03 00:00:00.0",,,,"AUDI","Audi","6226","Q52QT","Q5 2.0T Quattro",,"UT","5",,,,,"0.0000","53230.0000",,"1M065",,,"Side Front",,,,,,"2026-01-03 00:00:00.0","G","0.0000","1M065","USED","0.0000","0.0000","0.0000",,,"S2017141","WA12AAGU5S2017141",,"N","2025","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","0.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,,,,"0.0000",,,,"0.0000","0.0000","0.0000",,,"0.0000",,,,,,,,"0.0000",,,"AUDI",,,,,,,"0.0000","SanJoseChiapa,Mexico",,"0.0000",,"4*36764",,,,"0.0000","0.0000",,,"0.0000","2025-12-03 00:00:00.0",,,"999",,"6226",,,"0.0000","0.0000",,"0.0000","2026-01-03 00:00:00.0","S",,"AUDI",,,,,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*1M072","LCF-A",,,"47942.1500","0.0000","0.0000","HB",,,"N","AWD","M Black","Germany","1","4*36837","36837","4",,,,,,,,,"31551",,,"0.0000","2.0_Liter_TFSI","2025-12-29 00:00:00.0",,,"4,982",,"1414","1",,"2025-12-29 00:00:00.0",,,,"AUDI","Audi","6119","A5","A5 2.0","F5FCA","C","5","4",,,,"0.0000","50600.0000",,"1M072",,,"Side Front",,,,,,"2026-01-10 00:00:00.0","G","0.0000","1M072","USED","0.0000","0.0000","0.0000","7 Speed Automatic","PREMPLS","SA017094","WAUFACF50SA017094",,"N","2025","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","0.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"2.0 Liter TFSI",,,"0.0000",,,,"0.0000","0.0000","0.0000","HYBR",,"0.0000",,,,,,,,"0.0000",,,"AUDI",,,,,,,"0.0000","Ingolstadt, Germany",,"0.0000",,"4*36837",,,,"0.0000","0.0000",,,"0.0000","2025-12-29 00:00:00.0",,,"999",,"6119",,,"0.0000","0.0000",,"0.0000","2026-01-10 00:00:00.0","S",,"AUDI","A5SPQS",,,,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
"2","5*1M078","LCF-A",,,"53152.6900","0.0000","0.0000","UT",,,"N","AWD","Gray","Germany",,,,"4",,,,,,,,,,,,"0.0000","2.0_Liter_TFSI","2025-12-29 00:00:00.0",,,"6,393",,"1414","1",,"2025-12-29 00:00:00.0",,,,"AUDI","Audi","7036","Q7","Q7","4MQAC1","UT","5","4",,,,"0.0000","56858.0000",,"1M078",,,"Side Front",,,,,,,"S","0.0000","1M078","USED","0.0000","0.0000","0.0000","8 Speed Automatic","PREM","SD034426","WA1ACBF72SD034426",,"N","2025","2026-01-11 03:11:52.385476","2026-01-11 08:11:52.385476","0.0000","0.0000",,,,,,"0.0000",,"0.0000",,"0.0000",,"2.0 Liter TFSI",,,"0.0000",,,,"0.0000","0.0000","0.0000","GAS","2025 Audi Q7 45 Premium (Tiptronic) 4Dr Suv 117.9""","0.0000",,,,,,,,"0.0000",,,"AUDI",,,,,,,"0.0000","Bratislava,Slovakia",,"0.0000",,,,,,"0.0000","0.0000",,,"0.0000","2025-12-29 00:00:00.0",,,"999",,"7036",,,"0.0000","0.0000",,"0.0000",,"0",,"AUDI","Q720TQ",,"<<< MECHANICAL >>>|2.0L I-4 DOHC GASOLINE DIRECT INJECTION INTERCOOLED TURBO 16 |   FRONT ENGINE WITH VARIABLE VALVE CONTROL, SPARK IGNITION,|   LONGITUDINAL ORIENTATION, ALUMINUM BLOCK, ALUMINUM HEAD,|   RECOMMENDED FUEL : PREMIUM UNLEADED|REGENERATIVE|WITH RUN DOWN PROTECTION|8-SPEED ELECTRONIC OVERDRIVE AUTOMATIC TRANSMISSION WITH LOCK-UP|FULL-TIME ALL-WHEEL|PERMANENT LOCKING HUB CONTROL BRAKE ACTUATED LIMITED SLIP|   DIFFERENTIAL, ABS & DRIVELINE TRACTION CONTROL|INDEPENDENT MULTI-LINK WITH ANTI-ROLL|INDEPENDENT MULTI-LINK WITH ANTI-ROLL|ELECTRIC POWER-ASSIST DRIVER SELECTABLE EFFORT RACK AND PINION|   STEERING SPEED-SENSING ASSIST|4-WHEEL DISC BRAKES WITH 4-WHEEL ANTI-LOCK BRAKING SYSTEM, 4 ABS|   CHANNELS, FRONT AND REAR VENTED DISCS, ELECTRIC PARKING BRAKE|<<< EXTERIOR >>>|1ST AND 2ND ROW EXPRESS OPEN/CLOSE SLIDING AND TILTING GLASS|   SUNROOF WITH POWER SUNSHADE, EXTERIOR OPENING|FRONT BODY-COLORED BUMPER|REAR BODY-COLORED BUMPER WITH METAL-LOOK RUB STRIP/FASCIA ACCENT|METAL-LOOK GRILLE, METAL-LOOK SIDE WINDOW MOLDING, BLACK FRONT|   WINDSHIELD MOLDING, BODY-COLORED DOOR HANDLES|PROJECTOR BEAM LED LOW/HIGH BEAM AUTO ON/OFF HEADLAMPS WITH|   DAYTIME RUNNING LIGHTS, ENCLOSED MULTIPLE HEADLAMPS,|   DELAY-OFF FEATURE, AUTO-LEVELING, AUTO HIGH-BEAM|ADDITIONAL EXTERIOR LIGHTS INCLUDE CORNERING LIGHTS, FRONT FOG|   LIGHTS, CENTER HIGH MOUNTED STOP LIGHT, REAR FOG LIGHT,|   REMOTE ACTIVATED W/PUDDLE LIGHTS PERIMETER/APPROACH LIGHTS,|   LED BRAKELIGHTS|P255/55HR19.0 BSW RUN-FLAT AS FRONT TIRES|P255/55HR19.0 BSW RUN-FLAT AS REAR TIRES|<<< INTERIOR >>>|DUAL AIRBAGS, SEAT MOUNTED DRIVER AND PASSENGER SIDE-IMPACT|   AIRBAGS, CURTAIN 1ST, 2ND AND 3RD ROW OVERHEAD AIRBAG,|   OCCUPANCY SENSOR, REAR SIDE-IMPACT AIRBAG|SEATING CAPACITY OF 7|BUCKET FRONT SEATS WITH DRIVER & PASSENGER HEATED|FRONT HEIGHT ADJUSTABLE WITH 7 FRONT AND REAR PRE-TENSIONERS|   SEATBELTS REAR CENTER 3 POINT|2 SEAT BACK STORAGE POCKETS, GLOVEBOX REFRIGERATED/COOLED BOX,|   DRIVER AND PASSENGER DOOR BINS, REAR DOOR BINS|CARGO TIE DOWNS, CARGO LIGHT, CARGO CONCEALED STORAGE, TIRE|   MOBILITY KIT|<<< FUNCTIONAL >>>|DUAL ZONE FRONT AUTOMATIC AIR CONDITIONING REAR HVAC WITH|   SEPARATE CONTROLS, AIR FILTER, UNDERSEAT DUCTS, RESIDUAL HEAT|   RECIRCULATION, HEADLINER/PILLAR DUCTS, WITH CONSOLE DUCTS|REGULAR AM RADIO/FM/HD/SATELLITE WITH SEEK-SCAN, RADIO DATA|   SYSTEM, AUXILIARY AUDIO INPUT, EXTERNAL MEMORY CONTROL,|   SATELLITE RADIO TRIAL DURATION WITH NEW VEHICLE PURCHASE|   (MONTHS): 3|10|WINDOW GRID WITH DIVERSITY|STEERING ASSIST/LANE CENTERING CRUISE CONTROL WITH ADAPTIVE WITH|   TRAFFIC STOP-GO|3 12V DC POWER OUTLET(S), TRUNK/HATCH AUTO-LATCH, DRIVER FOOT|   REST, RETAINED ACCESSORY POWER, GARAGE DOOR TRANSMITTER,|   ASHTRAY,INTEGRATED EMERGENCY SOS CAPABILITY, WIRELESS PHONE|   CONNECTIVITY, INTERNET ACCESS, WIRELESS MIRRORING SMART|   DEVICE INTEGRATION, 2 USB PORTS, INTEGRATED TOLL MODULE,|   BUILT-IN VIRTUAL ASSISTANT|POWER WITH 2 STAGE UNLOCK, WITH REMOTE YES ENTRY, INTEGRATED|   KEY/REMOTE, AUTO LOCKING, PROXIMITY KEY, VALET FUNCTION|POWER CHILD SAFETY REAR DOOR LOCKS, TAILGATE/REAR DOOR LOCK|   INCLUDED WITH POWER DOOR LOCKS|TACHOMETER, ENGINE/MOTOR TEMPERATURE GAUGE|WARNING INDICATORS INCLUDE OIL PRESSURE, ENGINE TEMPERATURE,|   BATTERY, LOW OIL LEVEL, LOW COOLANT, LIGHTS ON CHIME, KEY|   CHIME, LOW FUEL, LOW WASHER FLUID, LIGHTING MALFUNCTION, DOOR|   AJAR, REAR CARGO AJAR, SERVICE INTERVAL, BRAKE FLUID, TIRE|   SPECIFIC LOW TIRE PRESSURE, BRAKE PAD WEAR|IMMOBILIZER, PANIC ALARM, TRACKER SYSTEM, SECURITY SYSTEM,|   RESTRICTED DRIVING MODE/ALERTS|POWER FRONT WINDOWS|POWER 2ND ROW ACTIVATION, FIXED 3RD ROW ACTIVATION|VARIABLE INTERMITTENT FRONT WINDSHIELD WIPERS WITH HEATED JETS,|   RAIN DETECTING WIPERS|",,"AUDI","2","LCF-A","127.0.0.1","207.187.65.211"
