# TABLE: ServiceSalesOpen_v
# DESCRIPTION: Service Sales Open - Open repair orders. Use for WIP analysis.
# FIELD COUNT: 308
#
Field Name,Description
AccountingAccount,Associated Accounting Account
ActualHours,Sum of actual hours on each labor operation.
ActualHoursCustomerPay,Actual customer pay hours assigned to labor operations
ActualHoursInternal,Actual warranty hours assigned to labor operations
ActualHoursWarranty,Actual internal hours assigned to labor operations
Address,Address
ApptDate,Scheduled date for the appointment if the repair order was opened from an appointment.
ApptFlag,Flag indicating if RO was rolled from an appointment.
ApptIDs,List of appointment IDs separated by commas.
ApptTime,Scheduled time for the appointment if the repair order was opened from an appointment.
BlockIVR,Flag whether IVR active or Customer has blocked the IVR msg
BookedDate,Date the repair order is booked.
BookedTime,Time the repair order is booked.
CashierNo,User ID used when logging onto the DMS.
"CityStateZip","City, state abbreviation, and ZIP code"
CloseDate,Closed date of repair order.
Color,Exterior color
ComebackFlag,Comeback repair as determined by the SA.
ContactEmailAddress,E-mail given during writeup in which to contact the customer
ContactPhoneNumber,Customer contact phone number
CoreCost,RO Total Core Cost
CoreSale,RO Total Core Sale
CustNo,Customer number
DELETEPIIDATA,Customer marked their PII as deleted
DamageReportCompleted,Damage Report Completed Flag
DamageReportId,Master Damage Report ID
DamageRptEmail,Damage Report Bodyshop E-mail Address
"DebitLocalTaxControlNumCP","Supplemental tax account number -- customer pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
"DebitLocalTaxControlNumIP","Supplemental tax account number -- internal pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
"DebitLocalTaxControlNumWP","Supplemental tax account number -- warranty pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
"DebitStateTaxControlNumCP","State tax default account number -- customer pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
"DebitStateTaxControlNumIP","State tax default account number -- internal pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
"DebitStateTaxControlNumWP","State tax default account number -- warranty pay -- debit tax control number for the debit tax account to which the tax amounts in WIP, attribute 36, are posted."
